"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Governor and Lt Governor, State of Illinois - R*","Bruce Rauner","R",34610,47.93,633638,157671,930,930,"0","0"
2,"Governor and Lt Governor, State of Illinois - R*","Jeanne Ives","R",37594,52.07,633638,157671,930,930,"0","0"
3,"Governor and Lt Governor, State of Illinois - D*","JB Pritzker","D",29857,35.99,633638,157671,930,930,"0","0"
4,"Governor and Lt Governor, State of Illinois - D*","Chris Kennedy","D",25038,30.18,633638,157671,930,930,"0","0"
5,"Governor and Lt Governor, State of Illinois - D*","Daniel Biss","D",26390,31.81,633638,157671,930,930,"0","0"
6,"Governor and Lt Governor, State of Illinois - D*","Bob Daiber","D",487,0.59,633638,157671,930,930,"0","0"
7,"Governor and Lt Governor, State of Illinois - D*","Tio Hardiman","D",686,0.83,633638,157671,930,930,"0","0"
8,"Governor and Lt Governor, State of Illinois - D*","Robert Marshall","D",496,0.60,633638,157671,930,930,"0","0"
9,"Attorney General, State of Illinois - R*","Erika Harold","R",36580,54.71,633638,157671,930,930,"0","0"
10,"Attorney General, State of Illinois - R*","Gary Grasso","R",30276,45.29,633638,157671,930,930,"0","0"
11,"Attorney General, State of Illinois - D*","Pat Quinn","D",19572,24.15,633638,157671,930,930,"0","0"
12,"Attorney General, State of Illinois - D*","Renato Mariotti","D",4182,5.16,633638,157671,930,930,"0","0"
13,"Attorney General, State of Illinois - D*","Scott Drury","D",7390,9.12,633638,157671,930,930,"0","0"
14,"Attorney General, State of Illinois - D*","Nancy Rotering","D",10875,13.42,633638,157671,930,930,"0","0"
15,"Attorney General, State of Illinois - D*","Kwame Raoul","D",19648,24.24,633638,157671,930,930,"0","0"
16,"Attorney General, State of Illinois - D*","Jesse Ruiz","D",3270,4.03,633638,157671,930,930,"0","0"
17,"Attorney General, State of Illinois - D*","Sharon Fairley","D",14311,17.66,633638,157671,930,930,"0","0"
18,"Attorney General, State of Illinois - D*","Aaron Goldstein","D",1793,2.21,633638,157671,930,930,"0","0"
19,"Secretary of State,  State of Illinois - R*","Jason Helland","R",61114,100.00,633638,157671,930,930,"0","0"
20,"Secretary of State,  State of Illinois - D*","Jesse White","D",76721,100.00,633638,157671,930,930,"0","0"
21,"Comptroller, State of Illinois - R*","Darlene Senger","R",62073,100.00,633638,157671,930,930,"0","0"
22,"Comptroller, State of Illinois - D*","Susana A. Mendoza","D",73403,100.00,633638,157671,930,930,"0","0"
23,"Treasurer, State of Illinois - R*","Jim Dodge","R",61354,100.00,633638,157671,930,930,"0","0"
24,"Treasurer, State of Illinois - D*","Michael W. Frerichs","D",71668,100.00,633638,157671,930,930,"0","0"
25,"Representative in Congress, 3rd Congressional District - R*","Arthur J. Jones","R",66,100.00,633638,157671,2,2,"0","0"
26,"Representative in Congress, 3rd Congressional District - D*","Daniel William Lipinski","D",53,39.26,633638,157671,2,2,"0","0"
27,"Representative in Congress, 3rd Congressional District - D*","Marie Newman","D",82,60.74,633638,157671,2,2,"0","0"
28,"Democratic State Central Committeewoman, 3rd Congressional District - D*","Silvana Tabares","D",52,44.83,633638,157671,2,2,"0","0"
29,"Democratic State Central Committeewoman, 3rd Congressional District - D*","Rebecca Davies","D",64,55.17,633638,157671,2,2,"0","0"
30,"Democratic State Central Committeeman, 3rd Congressional District - D*","Michael J. Madigan","D",88,100.00,633638,157671,2,2,"0","0"
31,"Democratic State Central Committeeman, 3rd Congressional District - D*","Mateusz 'Mat' Tomkowiak","D",0,0.00,633638,157671,2,2,"0","0"
32,"Representative in Congress, 5th Congressional District - R*","Tom Hanson","R",5070,100.00,633638,157671,69,69,"0","0"
33,"Representative in Congress, 5th Congressional District - D*","Benjamin Thomas Wolf","D",484,7.94,633638,157671,69,69,"0","0"
34,"Representative in Congress, 5th Congressional District - D*","Mike Quigley","D",4153,68.09,633638,157671,69,69,"0","0"
35,"Representative in Congress, 5th Congressional District - D*","Sameena Mustafa","D",1231,20.18,633638,157671,69,69,"0","0"
36,"Representative in Congress, 5th Congressional District - D*","Steven J. Schwartzberg","D",231,3.79,633638,157671,69,69,"0","0"
37,"Democratic State Central Committeewoman, 5th Congressional District - D*","Cynthia M. Santos","D",3005,57.64,633638,157671,69,69,"0","0"
38,"Democratic State Central Committeewoman, 5th Congressional District - D*","Melissa Lindberg","D",2208,42.36,633638,157671,69,69,"0","0"
39,"Democratic State Central Committeeman, 5th Congressional District - D*","John J. Cullerton","D",3365,63.11,633638,157671,69,69,"0","0"
40,"Democratic State Central Committeeman, 5th Congressional District - D*","Ross Outten","D",1967,36.89,633638,157671,69,69,"0","0"
41,"Representative in Congress, 6th Congressional District - R*","Peter J. Roskam","R",31700,100.00,633638,157671,400,400,"0","0"
42,"Representative in Congress, 6th Congressional District - D*","Kelly Mazeski","D",8526,22.76,633638,157671,400,400,"0","0"
43,"Representative in Congress, 6th Congressional District - D*","Amanda Howland","D",3957,10.56,633638,157671,400,400,"0","0"
44,"Representative in Congress, 6th Congressional District - D*","Sean Casten","D",12764,34.07,633638,157671,400,400,"0","0"
45,"Representative in Congress, 6th Congressional District - D*","Jennifer Zordani","D",1548,4.13,633638,157671,400,400,"0","0"
46,"Representative in Congress, 6th Congressional District - D*","Becky Anderson Wilkins","D",2941,7.85,633638,157671,400,400,"0","0"
47,"Representative in Congress, 6th Congressional District - D*","Ryan Huffman","D",1038,2.77,633638,157671,400,400,"0","0"
48,"Representative in Congress, 6th Congressional District - D*","Carole Cheney","D",6686,17.85,633638,157671,400,400,"0","0"
49,"Democratic State Central Committeewoman, 6th Congressional District - D*","Nancy Shepherdson","D",32013,100.00,633638,157671,400,400,"0","0"
50,"Democratic State Central Committeeman, 6th Congressional District - D*","Patrick Watson","D",12303,38.95,633638,157671,400,400,"0","0"
51,"Democratic State Central Committeeman, 6th Congressional District - D*","Jesse Medina Jr.","D",11809,37.39,633638,157671,400,400,"0","0"
52,"Democratic State Central Committeeman, 6th Congressional District - D*","Greg Hose","D",7473,23.66,633638,157671,400,400,"0","0"
53,"Representative in Congress, 8th Congressional District - R*","Jitendra ""JD"" Diganvker","R",11204,100.00,633638,157671,229,229,"0","0"
54,"Representative in Congress, 8th Congressional District - D*","Raja Krishnamoorthi","D",15232,100.00,633638,157671,229,229,"0","0"
55,"Democratic State Central Committeewoman, 8th Congressional District - D*","Cristina Castro","D",14227,100.00,633638,157671,229,229,"0","0"
56,"Democratic State Central Committeeman, 8th Congressional District - D*","Michael C. Cudzik","D",13881,100.00,633638,157671,229,229,"0","0"
57,"Representative in Congress, 11th Congressional District - R*","Nick Stella","R",10264,81.39,633638,157671,218,218,"0","0"
58,"Representative in Congress, 11th Congressional District - R*","Constant G. ""Connor"" Vlakancic","R",2347,18.61,633638,157671,218,218,"0","0"
59,"Representative in Congress, 11th Congressional District - D*","Bill Foster","D",17231,100.00,633638,157671,218,218,"0","0"
60,"Democratic State Central Committeewoman, 11th Congressional District - D*","Maggie Wunderly","D",6895,43.37,633638,157671,218,218,"0","0"
61,"Democratic State Central Committeewoman, 11th Congressional District - D*","Julia Kennedy Beckman","D",9004,56.63,633638,157671,218,218,"0","0"
62,"Democratic State Central Committeeman, 11th Congressional District - D*","Kevin ""Duffy"" Blackburn","D",7780,49.38,633638,157671,218,218,"0","0"
63,"Democratic State Central Committeeman, 11th Congressional District - D*","Juan R. Thomas","D",7976,50.62,633638,157671,218,218,"0","0"
64,"Representative in Congress, 14th Congressional District - R*","Randall M. ""Randy"" Hultgren","R",1086,100.00,633638,157671,16,16,"0","0"
65,"Representative in Congress, 14th Congressional District - D*","Victor Swanson","D",77,5.32,633638,157671,16,16,"0","0"
66,"Representative in Congress, 14th Congressional District - D*","John J. Hosta","D",67,4.63,633638,157671,16,16,"0","0"
67,"Representative in Congress, 14th Congressional District - D*","Matthew Brolley","D",188,12.98,633638,157671,16,16,"0","0"
68,"Representative in Congress, 14th Congressional District - D*","George Weber","D",58,4.01,633638,157671,16,16,"0","0"
69,"Representative in Congress, 14th Congressional District - D*","Lauren Underwood","D",924,63.81,633638,157671,16,16,"0","0"
70,"Representative in Congress, 14th Congressional District - D*","Jim Walz","D",92,6.35,633638,157671,16,16,"0","0"
71,"Representative in Congress, 14th Congressional District - D*","Daniel Roldan-Johnson","D",42,2.90,633638,157671,16,16,"0","0"
72,"Democratic State Central Committeewoman, 14th Congressional District - D*","Kristina Zahorik","D",711,54.73,633638,157671,16,16,"0","0"
73,"Democratic State Central Committeewoman, 14th Congressional District - D*","Alison Squires","D",588,45.27,633638,157671,16,16,"0","0"
74,"Democratic State Central Committeeman, 14th Congressional District - D*","Mark Guethle","D",587,46.44,633638,157671,16,16,"0","0"
75,"Democratic State Central Committeeman, 14th Congressional District - D*","Peter Janko","D",677,53.56,633638,157671,16,16,"0","0"
76,"State Senator 21st Legislative District - R*","Michael G. Connelly","R",15584,100.00,633638,157671,204,204,"0","0"
77,"State Senator 21st Legislative District - D*","Laura Ellman","D",16030,100.00,633638,157671,204,204,"0","0"
78,"State Senator 23rd Legislative District - R*","Seth Lewis","R",11707,100.00,633638,157671,203,203,"0","0"
79,"State Senator 23rd Legislative District - D*","Thomas Cullerton","D",12428,100.00,633638,157671,203,203,"0","0"
80,"State Senator 24th Legislative District - R*","Chris Nybo","R",17050,100.00,633638,157671,235,235,"0","0"
81,"State Senator 24th Legislative District - D*","Suzanne ""Suzy"" Glowiak","D",19903,100.00,633638,157671,235,235,"0","0"
82,"State Senator 39th Legislative District - R*","No Candidate","R",0,0.00,633638,157671,29,29,"0","0"
83,"State Senator 39th Legislative District - D*","Don Harmon","D",1742,100.00,633638,157671,29,29,"0","0"
84,"State Senator 41st Legislative District - R*","John Curran","R",11963,100.00,633638,157671,161,161,"0","0"
85,"State Senator 41st Legislative District - D*","Bridget M. Fitzgerald","D",13592,100.00,633638,157671,161,161,"0","0"
86,"State Senator 42nd Legislative District - R*","No Candidate","R",0,0.00,633638,157671,38,38,"0","0"
87,"State Senator 42nd Legislative District - D*","Linda Holmes","D",2764,100.00,633638,157671,38,38,"0","0"
88,"Representative General Assembly 41st District - R*","Grant Wehrli","R",5024,100.00,633638,157671,83,83,"0","0"
89,"Representative General Assembly 41st District - D*","Val Montgomery","D",6422,100.00,633638,157671,83,83,"0","0"
90,"Representative General Assembly 42nd District - R","Burt Minor","R",2567,22.40,633638,157671,121,121,"0","0"
91,"Representative General Assembly 42nd District - R","Amy L. Grant","R",7593,66.26,633638,157671,121,121,"0","0"
92,"Representative General Assembly 42nd District - R","Ryan Edward Byrne","R",1299,11.34,633638,157671,121,121,"0","0"
93,"Representative General Assembly 42nd District - D","Kathleen V. Carrier","D",9469,100.00,633638,157671,121,121,"0","0"
94,"Representative General Assembly 45th District - R*","Christine Jennifer Winger","R",7156,100.00,633638,157671,106,106,"0","0"
95,"Representative General Assembly 45th District - D*","Cynthia Borbas","D",6226,100.00,633638,157671,106,106,"0","0"
96,"Representative General Assembly 46th District - R","Gordon (Jay) Kinzler","R",3783,79.44,633638,157671,97,97,"0","0"
97,"Representative General Assembly 46th District - R","Roger Orozco","R",979,20.56,633638,157671,97,97,"0","0"
98,"Representative General Assembly 46th District - D","Deb Conroy","D",6269,100.00,633638,157671,97,97,"0","0"
